Paper Title,Architecture/Method,Feature Selection Method,Lending Club Usage,Citations,Key Contribution,Year,Relevance_Score
Feature Importance Estimation with Self-Attention Networks,Self-Attention Networks (SAN) for feature importance,Attention weights as feature importance scores,No - general tabular data,63,First attention-based feature importance for tabular data,2020,9
Comparative Analysis of Transformers for Modeling Tabular Data: Industry Scale,"TabBERT, Twin Tower, LUNA transformers",Attention mechanism for feature representation,No - American Express credit data,2,Comprehensive transformer comparison on financial data,2023,8
A hierarchical attention-based feature selection and fusion for credit risk,Hierarchical attention mechanism,Hierarchical attention for feature fusion,No - general credit risk,9,Hierarchical attention for feature selection and fusion,2024,9
Building a Risk Indicator from Loan Descriptions in P2P Lending using BERT,BERT for P2P lending risk,BERT attention on loan descriptions,Yes - Lending Club loan descriptions,2,BERT application to P2P lending text analysis,2024,10
Internet Financial Credit Risk Assessment with Sliding Window and Attention LSTM,LSTM with attention and sliding window,Attention mechanism to focus on important features,Yes - Lending Club dataset,13,Attention LSTM with sliding window for credit risk,2023,9
TabNet: Attentive Interpretable Tabular Learning,TabNet with sequential attention,Sequential attention for feature selection,No - general tabular data,Popular tool,Sequential attention mechanism for interpretable tabular learning,2019,8
A Transformer-based Model Integrated with Feature Selection,Transformer with feature selection,Integrated feature selection with transformer,No - general applications,Unknown,Integrated approach combining transformers and feature selection,Recent,7
Transformer Encoder and Multi-features Time2Vec for Financial Prediction,Transformer Encoder with Time2Vec,Correlation feature selection method,No - stock market data,1,Novel correlation feature selection for financial prediction,2025,6
A Path-Based Feature Selection Algorithm for Enterprise Credit Risk,Path-based feature selection,Path-based feature ranking,No - enterprise data,5,Path-based features for SME credit risk evaluation,2022,7
Dynamic Self-Attention for Credit Scoring: A Novel Ensemble Approach,Dynamic self-attention ensemble,Dynamic attention for per-customer feature weighting,No - synthetic credit data,Blog/Tutorial,Dynamic per-sample feature weighting with attention,2025,8
Performance Analysis of Credit Scoring Models on Lending Club Data,Multiple ML models on Lending Club,Traditional feature importance methods,Yes - Lending Club performance analysis,5,Comprehensive evaluation of ML methods on Lending Club,2017,8
FinBERT-QA: Financial Question Answering with pre-trained BERT,FinBERT for financial QA,BERT embeddings for feature extraction,No - financial QA,1,FinBERT adaptation for financial question answering,2025,6
Financial sentiment analysis using FinBERT with LSTM,FinBERT + LSTM for sentiment analysis,Sentiment-based feature engineering,No - stock market prediction,Recent,Sentiment analysis enhancement for financial prediction,2023,7
Incorporating BERT-based NLP and Transformer for Credit Risk Assessment,BERT-based NLP for Lending Club,NLP feature extraction from text,Yes - Lending Club features,3,NLP techniques applied to Lending Club dataset,Recent,9
"RNN Under the Lens: Attention, Confidence, and Feature Importance",RNN with attention and feature importance,Gradient-based feature importance,No - IMDB sentiment data,Recent,Multi-component RNN enhancement with attention,2025,7
