,Missing Count,Missing Percentage
member_id,2104542,100.0
orig_projected_additional_accrued_interest,2096849,99.6344572833424
hardship_reason,2094857,99.53980486015485
hardship_payoff_balance_amount,2094857,99.53980486015485
hardship_last_payment_amount,2094857,99.53980486015485
payment_plan_start_date,2094857,99.53980486015485
hardship_type,2094857,99.53980486015485
hardship_status,2094857,99.53980486015485
hardship_start_date,2094857,99.53980486015485
deferral_term,2094857,99.53980486015485
hardship_amount,2094857,99.53980486015485
hardship_dpd,2094857,99.53980486015485
hardship_loan_status,2094857,99.53980486015485
hardship_length,2094857,99.53980486015485
hardship_end_date,2094857,99.53980486015485
settlement_status,2072833,98.49330638210118
debt_settlement_flag_date,2072833,98.49330638210118
settlement_term,2072833,98.49330638210118
settlement_percentage,2072833,98.49330638210118
settlement_date,2072833,98.49330638210118
settlement_amount,2072833,98.49330638210118
sec_app_mths_since_last_major_derog,2071336,98.42217451588041
sec_app_revol_util,2006043,95.31969426126919
sec_app_num_rev_accts,2004378,95.24057966056273
sec_app_earliest_cr_line,2004378,95.24057966056273
sec_app_mort_acc,2004378,95.24057966056273
sec_app_open_acc,2004378,95.24057966056273
revol_bal_joint,2004378,95.24057966056273
sec_app_fico_range_low,2004378,95.24057966056273
sec_app_open_act_il,2004378,95.24057966056273
sec_app_inq_last_6mths,2004378,95.24057966056273
sec_app_fico_range_high,2004378,95.24057966056273
sec_app_collections_12_mths_ex_med,2004378,95.24057966056273
sec_app_chargeoff_within_12_mths,2004378,95.24057966056273
verification_status_joint,2000805,95.07080400391153
dti_joint,1995829,94.83436301104943
annual_inc_joint,1995825,94.83417294594263
desc,1978478,94.0099080940176
mths_since_last_record,1774473,84.316350065715
mths_since_recent_bc_dlq,1622421,77.09140516083785
mths_since_last_major_derog,1567506,74.48204882582529
mths_since_recent_revol_delinq,1418026,67.37931578462202
next_pymnt_d,1271808,60.43158083801606
mths_since_last_delinq,1082401,51.431665416988594
il_util,1048327,49.8125958046929
mths_since_rcnt_il,905493,43.025655938441716
all_util,866358,41.166106449764364
open_acc_6m,866159,41.15665071070095
inq_last_12m,866159,41.15665071070095
total_cu_tl,866159,41.15665071070095
open_il_24m,866158,41.15660319442425
max_bal_bc,866158,41.15660319442425
open_act_il,866158,41.15660319442425
open_il_12m,866158,41.15660319442425
open_rv_24m,866158,41.15660319442425
total_bal_il,866158,41.15660319442425
inq_fi,866158,41.15660319442425
open_rv_12m,866158,41.15660319442425
mths_since_recent_inq,277144,13.168850989906591
emp_title,155648,7.395813435892465
num_tl_120dpd_2m,145383,6.908058855560972
emp_length,135825,6.453898282856793
mo_sin_old_il_acct,134640,6.3975914949666
bc_util,73854,3.509267099444915
percent_bc_gt_75,73232,3.479711975337152
bc_open_to_buy,72793,3.4588523298655955
mths_since_recent_bc,71388,3.3920919611012756
pct_tl_nvr_dlq,70460,3.3479968563231335
avg_cur_bal,70372,3.343815423973482
mo_sin_rcnt_rev_tl_op,70306,3.3406793497112437
num_rev_accts,70306,3.3406793497112437
mo_sin_old_rev_tl_op,70306,3.3406793497112437
num_op_rev_tl,70305,3.340631833434543
num_il_tl,70305,3.340631833434543
num_tl_op_past_12m,70305,3.340631833434543
tot_coll_amt,70305,3.340631833434543
num_actv_rev_tl,70305,3.340631833434543
total_rev_hi_lim,70305,3.340631833434543
tot_cur_bal,70305,3.340631833434543
num_tl_30dpd,70305,3.340631833434543
num_actv_bc_tl,70305,3.340631833434543
num_accts_ever_120_pd,70305,3.340631833434543
num_rev_tl_bal_gt_0,70305,3.340631833434543
mo_sin_rcnt_tl,70305,3.340631833434543
num_tl_90g_dpd_24m,70305,3.340631833434543
tot_hi_cred_lim,70305,3.340631833434543
total_il_high_credit_limit,70305,3.340631833434543
num_bc_tl,70305,3.340631833434543
num_bc_sats,58619,2.785356623911521
num_sats,58619,2.785356623911521
mort_acc,50059,2.3786172953545237
total_bal_ex_mort,50059,2.3786172953545237
total_bc_limit,50059,2.3786172953545237
acc_open_past_24mths,50059,2.3786172953545237
title,23351,1.109552577235332
last_pymnt_d,2258,0.10729175278991819
revol_util,1670,0.07935218208997491
dti,1617,0.07683381942484399
pub_rec_bankruptcies,1394,0.0662376897206138
chargeoff_within_12_mths,174,0.008267832145901578
collections_12_mths_ex_med,174,0.008267832145901578
tax_liens,134,0.006367181077878227
last_credit_pull_d,95,0.00451404628655546
inq_last_6mths,59,0.0028034603253344432
delinq_amnt,58,0.0027559440486338597
total_acc,58,0.0027559440486338597
open_acc,58,0.0027559440486338597
earliest_cr_line,58,0.0027559440486338597
pub_rec,58,0.0027559440486338597
delinq_2yrs,58,0.0027559440486338597
acc_now_delinq,58,0.0027559440486338597
annual_inc,33,0.0015680371311192647
zip_code,30,0.0014254883010175136
debt_settlement_flag,30,0.0014254883010175136
funded_amnt,29,0.0013779720243169299
term,29,0.0013779720243169299
funded_amnt_inv,29,0.0013779720243169299
int_rate,29,0.0013779720243169299
verification_status,29,0.0013779720243169299
out_prncp,29,0.0013779720243169299
purpose,29,0.0013779720243169299
pymnt_plan,29,0.0013779720243169299
loan_status,29,0.0013779720243169299
issue_d,29,0.0013779720243169299
grade,29,0.0013779720243169299
home_ownership,29,0.0013779720243169299
url,29,0.0013779720243169299
installment,29,0.0013779720243169299
sub_grade,29,0.0013779720243169299
loan_amnt,29,0.0013779720243169299
revol_bal,29,0.0013779720243169299
application_type,29,0.0013779720243169299
policy_code,29,0.0013779720243169299
last_fico_range_low,29,0.0013779720243169299
addr_state,29,0.0013779720243169299
collection_recovery_fee,29,0.0013779720243169299
initial_list_status,29,0.0013779720243169299
last_fico_range_high,29,0.0013779720243169299
fico_range_low,29,0.0013779720243169299
fico_range_high,29,0.0013779720243169299
out_prncp_inv,29,0.0013779720243169299
total_pymnt_inv,29,0.0013779720243169299
total_pymnt,29,0.0013779720243169299
total_rec_prncp,29,0.0013779720243169299
recoveries,29,0.0013779720243169299
total_rec_late_fee,29,0.0013779720243169299
total_rec_int,29,0.0013779720243169299
hardship_flag,29,0.0013779720243169299
last_pymnt_amnt,29,0.0013779720243169299
disbursement_method,29,0.0013779720243169299
